Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,377.399994,379.450012,374.524994,375.825012,279.167419,1963682
2010-01-05,377.500000,379.774994,373.274994,375.924988,279.241699,2014488
2010-01-06,375.924988,376.100006,366.500000,367.424988,272.927704,3349176
2010-01-07,367.750000,369.700012,355.500000,357.200012,265.332550,6474892
2010-01-08,358.000000,359.250000,348.250000,349.899994,259.909882,6048178
2010-01-11,352.000000,360.049988,350.200012,357.100006,265.258301,4318408
2010-01-12,366.000000,377.000000,363.500000,375.024994,278.573120,9027690
2010-01-13,372.500000,398.200012,372.325012,394.274994,292.872314,10910272
2010-01-14,399.225006,399.225006,384.674988,389.924988,289.641052,10327614
2010-01-15,398.000000,399.799988,386.125000,395.700012,293.930786,7945008
2010-01-18,400.000000,414.500000,396.500000,401.100006,297.942078,7261084
2010-01-19,401.100006,401.100006,389.325012,390.350006,289.956696,5154850
2010-01-20,396.100006,396.100006,385.450012,389.700012,289.473877,4347054
2010-01-21,386.125000,395.975006,383.950012,385.325012,286.224121,5089504
2010-01-22,380.500000,382.500000,372.350006,378.924988,281.470093,7574990
2010-01-25,378.750000,382.750000,370.575012,378.100006,280.857300,3008286
2010-01-27,375.000000,379.850006,370.075012,371.649994,277.534241,4844398
2010-01-28,374.750000,378.975006,363.850006,370.875000,276.955505,6537196
2010-01-29,367.000000,369.899994,356.075012,368.100006,274.883209,5473326
2010-02-01,367.174988,381.399994,360.000000,373.075012,278.598328,3378012
2010-02-02,377.500000,381.325012,367.500000,369.200012,275.704681,4739188
2010-02-03,372.000000,378.450012,367.750000,376.475006,281.137268,2977676
2010-02-04,376.475006,376.950012,366.250000,369.350006,275.816650,2716612
2010-02-05,367.500000,367.500000,358.299988,361.750000,270.141296,4607118
2010-02-06,null,null,null,null,null,null
2010-02-08,364.500000,367.375000,354.075012,362.075012,270.384033,4170344
2010-02-09,362.500000,370.975006,360.524994,367.575012,274.491241,3005894
2010-02-10,369.950012,371.850006,364.049988,366.149994,273.427002,2337374
2010-02-11,368.975006,373.975006,367.500000,371.350006,277.310120,2413156
2010-02-15,375.000000,375.000000,369.274994,373.075012,278.598328,1956482
2010-02-16,373.625000,382.475006,371.100006,379.075012,283.078949,1660490
2010-02-17,382.450012,383.975006,376.274994,379.325012,283.265686,2528290
2010-02-18,380.000000,383.475006,377.750000,379.399994,283.321625,1814806
2010-02-19,377.450012,379.750000,372.899994,375.274994,280.241180,2215880
2010-02-22,378.500000,381.850006,376.899994,378.625000,282.742950,2143460
2010-02-23,379.500000,382.500000,375.625000,381.049988,284.553833,1853052
