,Date,Close,Open,High,Low,Vol.,Change %
0,"Sep 12, 1989",73.62,73.62,73.62,73.62,0,0.88%
1,"Sep 13, 1989",73.01,73.01,73.01,73.01,0,-0.83%
2,"Sep 14, 1989",72.78,72.78,72.78,72.78,0,-0.32%
3,"Sep 15, 1989",73.14,73.14,73.14,73.14,0,0.49%
4,"Sep 18, 1989",73.02,73.02,73.02,73.02,0,-0.16%
5,"Sep 19, 1989",72.56,72.56,72.56,72.56,0,-0.63%
6,"Sep 20, 1989",72.81,72.81,72.81,72.81,0,0.34%
7,"Sep 21, 1989",72.95,72.95,72.95,72.95,0,0.19%
8,"Sep 22, 1989",73.11,73.11,73.11,73.11,0,0.22%
9,"Sep 25, 1989",73,73,73,73,0,-0.15%
10,"Sep 26, 1989",73.29,73.29,73.29,73.29,0,0.40%
11,"Sep 27, 1989",71.43,71.43,71.43,71.43,0,-2.54%
12,"Sep 28, 1989",70.72,70.72,70.72,70.72,0,-0.99%
13,"Sep 29, 1989",70.68,70.68,70.68,70.68,0,-0.06%
14,"Oct 02, 1989",70.42,70.42,70.42,70.42,0,-0.37%
15,"Oct 03, 1989",69.44,69.44,69.44,69.44,0,-1.39%
16,"Oct 04, 1989",70.61,70.61,70.61,70.61,0,1.68%
17,"Oct 05, 1989",70.9,70.9,70.9,70.9,0,0.41%
18,"Oct 06, 1989",71.27,71.27,71.27,71.27,0,0.52%
19,"Oct 09, 1989",72.56,72.56,72.56,72.56,0,1.81%
20,"Oct 10, 1989",72.32,72.32,72.32,72.32,0,-0.33%
21,"Oct 11, 1989",71.76,71.76,71.76,71.76,0,-0.77%
22,"Oct 12, 1989",71.59,71.59,71.59,71.59,0,-0.24%
23,"Oct 13, 1989",67.12,67.12,67.12,67.12,0,-6.24%
24,"Oct 16, 1989",68.89,68.89,68.89,68.89,0,2.64%
25,"Oct 17, 1989",68.56,68.56,68.56,68.56,0,-0.48%
26,"Oct 18, 1989",68.8,68.8,68.8,68.8,0,0.35%
27,"Oct 19, 1989",70.35,70.35,70.35,70.35,0,2.25%
28,"Oct 20, 1989",70.11,70.11,70.11,70.11,0,-0.34%
29,"Oct 23, 1989",69.41,69.41,69.41,69.41,0,-1.00%
30,"Oct 24, 1989",69.37,69.37,69.37,69.37,0,-0.06%
31,"Oct 25, 1989",68.73,68.73,68.73,68.73,0,-0.92%
32,"Oct 26, 1989",67.4,67.4,67.4,67.4,0,-1.94%
33,"Oct 27, 1989",66.88,66.88,66.88,66.88,0,-0.77%
34,"Oct 30, 1989",66.53,66.53,66.53,66.53,0,-0.52%
35,"Oct 31, 1989",67.58,67.58,67.58,67.58,0,1.58%
36,"Nov 01, 1989",67.51,67.51,67.51,67.51,0,-0.10%
37,"Nov 02, 1989",65.48,65.48,65.48,65.48,0,-3.01%
38,"Nov 03, 1989",65.06,65.06,65.06,65.06,0,-0.64%
39,"Nov 06, 1989",63.9,63.9,63.9,63.9,0,-1.78%
40,"Nov 07, 1989",64.76,64.76,64.76,64.76,0,1.35%
41,"Nov 08, 1989",64.65,64.65,64.65,64.65,0,-0.17%
42,"Nov 09, 1989",64.82,64.82,64.82,64.82,0,0.26%
43,"Nov 10, 1989",65.41,65.41,65.41,65.41,0,0.91%
44,"Nov 13, 1989",65.13,65.13,65.13,65.13,0,-0.43%
45,"Nov 14, 1989",64.9,64.9,64.9,64.9,0,-0.35%
46,"Nov 15, 1989",65.1,65.1,65.1,65.1,0,0.31%
47,"Nov 16, 1989",65.11,65.11,65.11,65.11,0,0.02%
48,"Nov 17, 1989",66.31,66.31,66.31,66.31,0,1.84%
49,"Nov 20, 1989",65.98,65.98,65.98,65.98,0,-0.50%
50,"Nov 21, 1989",66.23,66.23,66.23,66.23,0,0.38%
51,"Nov 22, 1989",66.75,66.75,66.75,66.75,0,0.79%
52,"Nov 24, 1989",67.16,67.16,67.16,67.16,0,0.61%
53,"Nov 27, 1989",66.88,66.88,66.88,66.88,0,-0.42%
54,"Nov 28, 1989",66.3,66.3,66.3,66.3,0,-0.87%
55,"Nov 29, 1989",65.84,65.84,65.84,65.84,0,-0.69%
56,"Nov 30, 1989",66.21,66.21,66.21,66.21,0,0.56%
57,"Dec 01, 1989",66.31,66.31,66.31,66.31,0,0.15%
58,"Dec 04, 1989",67.34,67.34,67.34,67.34,0,1.55%
59,"Dec 05, 1989",67.19,67.19,67.19,67.19,0,-0.22%
60,"Dec 06, 1989",66.58,66.58,66.58,66.58,0,-0.91%
61,"Dec 07, 1989",66.28,66.28,66.28,66.28,0,-0.45%
62,"Dec 08, 1989",65.71,65.71,65.71,65.71,0,-0.86%
63,"Dec 11, 1989",64.83,64.83,64.83,64.83,0,-1.34%
64,"Dec 12, 1989",64.92,64.92,64.92,64.92,0,0.14%
65,"Dec 13, 1989",64.48,64.48,64.48,64.48,0,-0.68%
66,"Dec 14, 1989",63.88,63.88,63.88,63.88,0,-0.93%
67,"Dec 15, 1989",63.6,63.6,63.6,63.6,0,-0.44%
68,"Dec 18, 1989",62.85,62.85,62.85,62.85,0,-1.18%
69,"Dec 19, 1989",63.66,63.66,63.66,63.66,0,1.29%
70,"Dec 20, 1989",63.76,63.76,63.76,63.76,0,0.16%
71,"Dec 21, 1989",64.23,64.23,64.23,64.23,0,0.74%
72,"Dec 22, 1989",64.59,64.59,64.59,64.59,0,0.56%
73,"Dec 26, 1989",64.21,64.21,64.21,64.21,0,-0.59%
74,"Dec 27, 1989",64.56,64.56,64.56,64.56,0,0.55%
75,"Dec 28, 1989",64.3,64.3,64.3,64.3,0,-0.40%
76,"Dec 29, 1989",64.79,64.79,64.79,64.79,0,0.76%
77,"Jan 02, 1990",67.24,67.24,67.24,67.24,0,3.78%
78,"Jan 03, 1990",67.38,67.38,67.38,67.38,0,0.21%
